,week,2020,2021,2022,2023,2024
0,1,302.9999999999995,208.99999999999972,115.99999999999946,278.9999999999995,304.99999999999943
1,2,342.99999999999943,157.99999999999974,146.9999999999997,278.9999999999995,393.99999999999983
2,3,403.9999999999995,150.99999999999955,184.9999999999997,277.9999999999995,408.9999999999998
3,4,308.9999999999997,136.9999999999996,165.99999999999946,272.99999999999966,429.99999999999966
4,5,369.99999999999983,146.9999999999997,152.9999999999995,185.99999999999966,485.9999999999997
5,6,399.99999999999966,141.99999999999943,166.99999999999943,222.99999999999966,514.9999999999995
6,7,379.99999999999943,145.99999999999972,217.9999999999994,218.9999999999998,429.99999999999966
7,8,380.99999999999943,144.99999999999977,190.9999999999995,147.99999999999966,459.9999999999997
8,9,373.99999999999966,139.9999999999995,276.99999999999955,137.99999999999957,369.99999999999983
9,10,374.9999999999996,139.9999999999995,370.9999999999998,110.99999999999963,366.9999999999995
10,11,388.9999999999996,127.99999999999947,426.99999999999955,118.9999999999998,330.99999999999943
11,12,367.99999999999943,119.99999999999976,433.99999999999955,148.99999999999963,319.9999999999998
12,13,376.99999999999955,113.99999999999953,529.9999999999997,127.99999999999947,348.99999999999966
13,14,314.99999999999955,100.99999999999955,656.9999999999997,107.99999999999974,414.99999999999955
14,15,342.99999999999943,108.9999999999997,742.9999999999998,115.99999999999946,306.99999999999983
15,16,359.9999999999997,133.99999999999972,949.9999999999998,131.99999999999977,340.9999999999995
16,17,398.99999999999966,80.99999999999936,985.9999999999998,113.99999999999953,336.99999999999966
17,18,389.99999999999955,115.99999999999946,867.9999999999998,127.99999999999947,247.9999999999997
18,19,506.9999999999996,93.99999999999979,1309.9999999999998,117.99999999999939,325.9999999999996
19,20,525.9999999999997,118.9999999999998,1307.9999999999998,99.99999999999957,290.9999999999995
20,21,618.9999999999997,129.9999999999994,1551.9999999999998,120.99999999999973,287.9999999999996
21,22,731.9999999999997,121.99999999999969,1446.0,132.99999999999974,312.9999999999996
22,23,866.9999999999998,136.9999999999996,1451.9999999999998,110.99999999999963,332.9999999999998
23,24,1152.9999999999998,135.99999999999963,1253.9999999999998,161.9999999999996,302.9999999999995
24,25,1370.9999999999998,125.99999999999955,1163.9999999999998,269.9999999999998,296.9999999999997
25,26,1460.0,106.99999999999977,1198.9999999999998,213.99999999999955,290.9999999999995
26,27,1448.0,104.9999999999994,1144.9999999999998,270.9999999999998,326.99999999999955
27,28,1664.9999999999998,72.99999999999964,908.9999999999997,234.9999999999997,
28,29,1724.0,82.99999999999973,1037.9999999999998,207.99999999999974,
29,30,1787.0,76.9999999999995,1084.9999999999998,199.9999999999996,
30,31,1376.9999999999998,69.99999999999974,879.9999999999998,214.99999999999952,
31,32,1664.9999999999998,85.99999999999963,888.9999999999997,161.9999999999996,
32,33,1337.9999999999998,48.99999999999961,667.9999999999997,195.99999999999974,
33,34,1285.9999999999998,48.99999999999961,653.9999999999998,191.99999999999943,
34,35,1149.9999999999998,49.999999999999574,574.9999999999997,197.99999999999966,
35,36,934.9999999999998,57.99999999999973,581.9999999999997,212.99999999999957,
36,37,722.9999999999998,77.99999999999947,550.9999999999997,260.99999999999966,
37,38,669.9999999999997,106.99999999999977,451.9999999999996,329.99999999999943,
38,39,587.9999999999997,109.99999999999967,423.99999999999966,302.9999999999995,
39,40,603.9999999999998,102.99999999999947,401.99999999999955,341.9999999999995,
40,41,524.9999999999997,77.99999999999947,376.99999999999955,265.9999999999995,
41,42,587.9999999999997,80.99999999999936,369.99999999999983,214.99999999999952,
42,43,563.9999999999997,69.99999999999974,302.9999999999995,207.99999999999974,
43,44,438.9999999999996,56.999999999999766,324.9999999999996,190.9999999999995,
44,45,406.99999999999983,45.99999999999971,279.99999999999943,151.99999999999952,
45,46,354.99999999999943,55.99999999999936,322.9999999999997,155.99999999999937,
46,47,256.99999999999983,67.99999999999939,257.9999999999998,142.9999999999994,
47,48,278.9999999999995,47.999999999999645,242.9999999999994,170.99999999999974,
48,49,227.9999999999995,61.99999999999959,335.99999999999966,143.9999999999998,
49,50,226.99999999999955,60.99999999999962,283.9999999999997,182.99999999999974,
50,51,233.99999999999972,71.99999999999969,273.99999999999966,209.9999999999997,
51,52,195.99999999999974,66.99999999999942,255.9999999999994,233.99999999999972,
52,53,191.99999999999943,,,274.9999999999996,
