Year,Week,Dengue_Count,Daily_Rainfall,Mean_Temperature,Max_Temperature,Min_Temperature,Min_Wind_Speed,Max_Wind_speed,Relative_Humidity,Trend_Dengue,Trend_Dengue_Symptoms,Trend_Fever,Trend_Mosquito,Wolbachia_Ratio,External_Events
2012,1,74.0,10.266250000000001,26.866025641025644,30.521875,24.589375,10.653125,36.228750000000005,76.6,50.0,0.0,85.0,64.0,0.0,0.0
2012,2,66.0,3.7399999999999998,26.434782608695652,29.79714285714286,23.925714285714285,8.48642857142857,33.59642857142857,76.6,50.0,83.0,79.0,61.0,0.0,0.0
2012,3,61.0,13.2,27.238235294117647,31.834999999999997,24.474285714285713,6.683571428571429,29.836428571428574,76.6,51.0,58.0,84.0,75.0,0.0,0.0
2012,4,52.0,1.5223809523809524,26.784671532846716,30.78142857142857,24.417857142857144,9.255714285714285,33.138571428571424,76.6,60.0,0.0,78.0,83.0,0.0,0.0
2012,5,85.0,7.472142857142858,26.544285714285714,30.213571428571427,24.17642857142857,9.028571428571428,33.24857142857143,85.6,55.0,43.0,77.0,86.0,0.0,0.0
2012,6,87.0,1.014047619047619,27.506569343065696,32.05714285714286,24.72142857142857,9.998571428571429,32.85285714285714,76.6,61.0,48.0,81.0,74.0,0.0,0.0
2012,7,65.0,4.8619047619047615,26.859712230215827,31.09642857142857,24.369285714285713,7.521428571428571,33.143571428571434,76.6,68.0,68.0,83.0,67.0,0.0,0.0
2012,8,51.0,5.05047619047619,27.614388489208633,31.6,25.264285714285716,8.017142857142858,29.712857142857143,76.6,60.0,0.0,71.0,78.0,0.0,0.0
2012,9,55.0,6.045714285714285,27.161481481481484,31.42142857142857,24.715714285714284,6.747142857142857,31.630714285714287,87.3,48.0,0.0,77.0,51.0,0.0,0.0
2012,10,46.0,10.392380952380952,27.139097744360903,30.724285714285713,24.247857142857143,6.557142857142857,34.06428571428572,76.6,48.0,0.0,73.0,60.0,0.0,0.0
2012,11,64.0,10.831666666666667,26.71203007518797,30.484999999999996,24.17,7.807142857142857,33.270714285714284,76.6,75.0,41.0,82.0,79.0,0.0,0.0
2012,12,73.0,6.528878281622911,27.815909090909088,32.05755395683453,25.03453237410072,6.210714285714285,28.29357142857143,76.6,63.0,59.0,77.0,82.0,0.0,0.0
2012,13,48.0,15.050478468899522,27.433587786259544,31.518115942028984,24.577536231884057,6.740287769784173,33.09424460431655,85.1,65.0,0.0,69.0,92.0,0.0,0.0
2012,14,52.0,12.34818401937046,27.24812030075188,31.19928571428571,24.00857142857143,6.290714285714286,37.644285714285715,76.6,57.0,57.0,79.0,92.0,0.0,0.0
2012,15,82.0,11.791041162227602,27.421804511278197,31.35142857142857,24.525,5.899285714285714,28.660714285714285,76.6,58.0,0.0,80.0,78.0,0.0,0.0
2012,16,77.0,7.949394673123487,27.85488721804511,31.341428571428573,25.384285714285717,6.9035714285714285,28.410714285714285,76.6,52.0,0.0,83.0,91.0,0.0,0.0
2012,17,64.0,3.582324455205811,28.555303030303033,32.208571428571425,25.715714285714284,6.610714285714286,30.90642857142857,76.6,63.0,0.0,84.0,91.0,0.0,0.0
2012,18,88.0,11.691885441527445,27.9406015037594,31.654285714285717,24.93857142857143,6.558571428571429,35.555,83.1,67.0,0.0,84.0,100.0,0.0,0.0
2012,19,97.0,6.632142857142857,28.054135338345862,31.87,24.58857142857143,6.6571428571428575,35.44714285714286,76.6,61.0,56.0,76.0,89.0,0.0,0.0
2012,20,80.0,8.727380952380953,28.860902255639097,32.06857142857143,25.667142857142856,6.54,32.32285714285714,76.6,61.0,0.0,89.0,75.0,0.0,0.0
2012,21,80.0,8.902380952380952,28.377443609022556,31.492857142857144,25.193571428571428,7.714999999999999,33.58142857142857,76.6,72.0,46.0,76.0,68.0,0.0,0.0
2012,22,81.0,4.258333333333334,28.38947368421053,31.57214285714286,25.710714285714285,5.910714285714286,25.59857142857143,79.0,72.0,77.0,81.0,85.0,0.0,0.0
2012,23,100.0,7.932380952380952,28.75639097744361,31.692857142857143,26.08857142857143,7.494285714285715,30.205,76.6,63.0,0.0,80.0,94.0,0.0,0.0
2012,24,88.0,0.0,29.4796992481203,32.402142857142856,27.353571428571428,8.652142857142858,27.615,76.6,83.0,68.0,76.0,71.0,0.0,0.0
2012,25,129.0,1.3002380952380952,29.10075187969925,32.46214285714286,26.68857142857143,7.978571428571429,29.27357142857143,76.6,65.0,68.0,70.0,82.0,0.0,0.0
2012,26,151.0,3.674761904761905,28.459398496240603,31.605,25.80142857142857,7.661428571428571,34.489285714285714,81.1,71.0,55.0,75.0,76.0,0.0,0.0
2012,27,140.0,16.122619047619047,27.303007518796996,30.293571428571433,24.233571428571427,7.505,37.155,76.6,99.0,89.0,85.0,86.0,0.0,0.0
