location,station_ID,year,month,filename
Choa Chu Kang (South),121,2021,5,Choa Chu Kang (South)_121_202105.csv
Kranji Reservoir,66,2015,11,Kranji Reservoir_66_201511.csv
Kent Ridge,71,2022,9,Kent Ridge_71_202209.csv
Ulu Pandan,35,2022,11,Ulu Pandan_35_202211.csv
Tanjong Pagar,72,2012,5,Tanjong Pagar_72_201205.csv
Tengah,23,2021,2,Tengah_23_202102.csv
Jurong (West),44,2024,1,Jurong (West)_44_202401.csv
Jurong Island,117,2015,5,Jurong Island_117_201505.csv
Admiralty West,105,2018,7,Admiralty West_105_201807.csv
Queenstown,77,2016,10,Queenstown_77_201610.csv
