location,station_ID,year,month,filename
Kent Ridge,71,2020,10,Kent Ridge_71_202010.csv
Tai Seng,43,2018,1,Tai Seng_43_201801.csv
Boon Lay (West),63,2015,8,Boon Lay (West)_63_201508.csv
Clementi,50,2012,7,Clementi_50_201207.csv
Marine Parade,113,2015,11,Marine Parade_113_201511.csv
Tuas,89,2013,7,Tuas_89_201307.csv
Changi Climate Station,24,2024,6,Changi Climate Station_24_202406.csv
Choa Chu Kang (Central),114,2022,7,Choa Chu Kang (Central)_114_202207.csv
Sentosa Island,60,2015,3,Sentosa Island_60_201503.csv
Nicoll Highway,119,2023,5,Nicoll Highway_119_202305.csv
Newton,111,2020,12,Newton_111_202012.csv
Pulau Ubin,106,2014,4,Pulau Ubin_106_201404.csv
Mandai,40,2021,6,Mandai_40_202106.csv
Choa Chu Kang (Central),114,2023,4,Choa Chu Kang (Central)_114_202304.csv
Admiralty,104,2012,3,Admiralty_104_201203.csv
East Coast Parkway,107,2017,1,East Coast Parkway_107_201701.csv
Jurong (North),101,2013,7,Jurong (North)_101_201307.csv
Dhoby Ghaut,118,2023,12,Dhoby Ghaut_118_202312.csv
Buangkok,55,2014,8,Buangkok_55_201408.csv
Dhoby Ghaut,118,2021,2,Dhoby Ghaut_118_202102.csv
Seletar,25,2013,10,Seletar_25_201310.csv
Yishun,91,2012,11,Yishun_91_201211.csv
Lower Peirce Reservoir,08,2012,7,Lower Peirce Reservoir_08_201207.csv
Clementi,50,2020,11,Clementi_50_202011.csv
Jurong Pier,33,2022,2,Jurong Pier_33_202202.csv
Bukit Panjang,64,2021,3,Bukit Panjang_64_202103.csv
Macritchie Reservoir,07,2020,6,Macritchie Reservoir_07_202006.csv
Upper Thomson,46,2018,7,Upper Thomson_46_201807.csv
East Coast Parkway,107,2020,7,East Coast Parkway_107_202007.csv
Jurong (West),44,2021,11,Jurong (West)_44_202111.csv
Seletar,25,2020,6,Seletar_25_202006.csv
Tuas West,82,2014,2,Tuas West_82_201402.csv
Tai Seng,43,2020,12,Tai Seng_43_202012.csv
Choa Chu Kang (Central),114,2021,7,Choa Chu Kang (Central)_114_202107.csv
Tuas,89,2019,5,Tuas_89_201905.csv
Tengah,23,2020,4,Tengah_23_202004.csv
Yishun,91,2020,2,Yishun_91_202002.csv
Serangoon,36,2018,3,Serangoon_36_201803.csv
Marine Parade,113,2022,8,Marine Parade_113_202208.csv
Mandai,40,2024,4,Mandai_40_202404.csv
