Year,Week No.,Daily Rainfall Total (mm),Mean Temperature (C),Dengue (Count)
2012,1,1.8399899959983994,27.065217338217337,74
2012,2,3.4883523409363746,26.472771023302936,66
2012,3,15.048954581832731,27.200941391941388,61
2012,4,1.376448579431773,26.80994425863991,52
2012,5,8.257398959583833,26.558095238095234,85
2012,6,0.7145608243297318,27.545393374741202,87
2012,7,5.869741896758702,26.798988095238094,65
2012,8,4.465807322929173,27.629880952380955,51
2012,9,5.721743697478992,27.20859307359308,55
2012,10,9.901637655062025,27.092619047619046,46
2012,11,11.264746898759507,26.692857142857143,64
2012,12,6.540560359737116,27.698751451800227,73
2012,13,15.319073705753487,27.334261904761906,48
2012,14,12.328774509803925,27.150714285714287,52
2012,15,14.262953181272511,27.335,82
2012,16,7.76628851540616,27.73619047619048,77
2012,17,2.9580322128851533,28.467142857142857,64
2012,18,13.315170568227296,27.818095238095236,88
2012,19,7.027275910364148,27.899505494505497,97
2012,20,8.12456882753101,28.742619047619048,80
2012,21,8.927152861144458,28.285000000000004,80
2012,22,4.126863745498199,28.31071428571429,81
2012,23,7.671570628251301,28.646190476190476,100
2012,24,0.00040816326530612246,29.432380952380953,88
2012,25,1.8006222488995605,28.942490842490844,129
2012,26,3.111096438575431,28.318571428571424,151
2012,27,16.540105042016805,27.193095238095243,140
2012,28,3.0270928371348544,27.546904761904763,132
2012,29,5.466642657062825,27.423095238095236,125
2012,30,0.6743817527010803,28.69952380952381,110
2012,31,8.326519607843139,28.15095238095238,94
2012,32,0.06010204081632653,28.516904761904755,127
2012,33,3.4399639855942374,28.30476190476191,115
2012,34,2.5298809523809527,27.98333333333333,92
2012,35,6.5181662665066025,27.202596899224808,102
2012,36,4.577068827531013,27.47517006802721,76
2012,37,1.0483973589435773,28.039149659863945,74
2012,38,2.526524609843938,28.34489795918367,72
2012,39,8.201693677470988,27.874940476190478,100
2012,40,3.256683673469388,28.19019250253293,104
2012,41,5.22656462585034,27.727115384615388,123
2012,42,14.276037414965984,26.8440780141844,105
2012,43,0.30549319727891155,28.733299319727895,84
2012,44,11.483432441942293,27.12886018237082,104
2012,45,7.95605642256903,27.140238095238097,100
2012,46,14.791685674269706,27.120884353741495,88
2012,47,10.709602841136453,27.252176870748297,100
2012,48,6.278222288915567,27.381231003039517,80
2012,49,12.715013005202078,27.060102040816325,78
2012,50,17.091653661464584,26.360102040816326,105
2012,51,10.450105042016808,26.5441156462585,94
2012,52,2.8131602641056417,26.73279761904762,112
2013,1,5.43782738095238,27.327000000000005,134
2013,2,7.791734693877553,27.528988095238095,205
2013,3,16.19671768707483,26.452976190476193,219
2013,4,1.0002210884353742,27.172857142857147,267
2013,5,5.458120838673634,27.563024844720495,293
2013,6,21.451518598034824,26.025919312169314,322
2013,7,13.066825702694874,25.731547619047614,247
2013,8,2.7792126850740297,27.22619047619047,296
2013,9,12.52077931172469,27.700668693009117,249
2013,10,5.4622468987595045,27.8347001934236,273
2013,11,5.198132998654007,27.951453900709218,308
